income_band,category_l1,drcr_ind,cnt_cust,avg_prop,min_prop,max_prop,var_prop,median
10,STOCK CHARGES,D,184,0.0011624381,0.000022384,0.0090819011,0.000001813,0.0007753232
11,,D,22,0.0108213155,0.0012842547,0.0262792911,4.59041827294418E-005,0.0088371802
11,BOUNCE,D,496,0.0369241463,1.26746926980559E-005,0.5369142294,0.0035591852,0.0159592554
11,CHARITY,D,310,0.0031586588,9.56550793489441E-005,0.0326765403,0.000011754,0.002150734
11,HOLD FUND,D,93,0.0160312049,0.0007766115,0.0840551332,0.0003063114,0.0081664762
11,INSURANCE,D,9491,0.0214839775,1.04688915598672E-005,0.976477921,0.0008911964,0.0131628951
11,ONLINE WALLET,D,2850,0.0017478808,7.75184162193909E-007,0.0938025564,1.84983084795687E-005,0.0005184751
11,PERSONAL,D,5915,0.0343999536,1.19324568004231E-007,0.8691331148,0.0040204844,0.0121981138
11,PREMAT CHARGES,D,95,0.0001671369,7.79793253968819E-007,0.0017234198,5.64719639705777E-008,8.40461943880655E-005
11,REMITTANCE,D,3,0.0916025527,0.0300401188,0.1578935087,0.0027355943,0.0868740305
11,SWEEP,D,196,0.0685586737,5.13926536882536E-008,0.4794223905,0.0088863882,0.0284929834
11,TRAVEL,D,11543,0.0108905433,2.7758924261434E-006,0.7999438643,0.0004841323,0.0046586301
11,UNKNOWABLE,D,7177,0.0481686839,5.16225156843575E-007,0.7292465568,0.006833241,0.0098679028
12,BILL PAYMENT,D,14014,0.1133866851,3.54448457073886E-006,1,0.013799017,0.0804524198
12,CHARGES,D,10791,0.000793964,2.81832541304539E-007,1,0.000383833,0.0002172778
12,EMI,D,9335,0.1596463362,1.68973429026664E-006,0.9991022944,0.0192174674,0.121280022
12,PETROL CHARGES,D,5999,0.0001719109,1.16021953999734E-006,0.0025877985,6.24675774022168E-008,7.00810778653249E-005
12,TAX,D,1689,0.0397779848,1.13272458079905E-008,0.7555282712,0.0128243777,0.0043777991
13,FOREX,D,52,5.22702637314209E-005,3.03607720297805E-007,0.0004360031,8.51412063291831E-009,2.09183072001906E-005
13,HEALTH,D,830,0.0035092756,0.000025815,0.3271583617,0.0002146257,0.0006861163
13,INTEREST,D,105,0.0017371808,2.45257979258895E-007,0.0241017025,1.09412614665627E-005,0.0001769073
13,PETROL,D,1464,0.0023181284,2.18857967411168E-005,0.0510248654,1.55718383075785E-005,0.0010669429
