youtubelink,twitterid,youtubeId,commentCount,viewCount,favoriteCount,dislikeCount,likeCount
http://youtu.be/4O_YMLDvvnw,527356171163029504,4O_YMLDvvnw,23360.0,22504504.0,0.0,1479.0,94828
https://www.youtube.com/watch?v=WwNsRs5dKyA#t=91,527367042761236480,WwNsRs5dKyA,6564.0,3822523.0,0.0,1235.0,92837
http://youtu.be/Mg-bzy_5aTI?a,527365935485571073,Mg-bzy_5aTI,5162.0,592070.0,0.0,1383.0,91269
http://youtu.be/_WcWHZc8s2I,527340501209743360,_WcWHZc8s2I,7719.0,22020178.0,0.0,1789.0,90745
http://youtu.be/Wh-coxOjoPQ?a,527368535954038784,Wh-coxOjoPQ,5174.0,12046586.0,0.0,1905.0,88740
https://www.youtube.com/watch?v=TJVMUgra8DA,527362542289813504,TJVMUgra8DA,2335.0,1058478.0,0.0,858.0,87673
https://www.youtube.com/watch?v=TBXv37PFcAQ,527376366711635968,TBXv37PFcAQ,11640.0,19201069.0,0.0,2198.0,84466
http://youtu.be/8ptfyhBjXj8,527375003562414080,8ptfyhBjXj8,14532.0,22480557.0,0.0,3176.0,84273
http://youtu.be/eGwuoYKhqx8,527336025908314113,eGwuoYKhqx8,12193.0,14209100.0,0.0,1633.0,83711
http://youtu.be/6j7huh5Egew,527344972371357696,6j7huh5Egew,19343.0,28488977.0,0.0,1604.0,82844
http://youtu.be/diKz9udywg4,527351439987728384,diKz9udywg4,7375.0,24993615.0,0.0,1280.0,80198
http://youtu.be/CcsUYu0PVxY,527371568419061760,CcsUYu0PVxY,6934.0,22263029.0,0.0,4554.0,76568
http://youtu.be/Q0GOqKf425s?a,527354443084226560,Q0GOqKf425s,6614.0,18128890.0,0.0,5107.0,73711
http://youtu.be/1CV6Gs_oZOI,527376068928229376,1CV6Gs_oZOI,2826.0,123198474.0,0.0,37051.0,73656
http://youtu.be/9aHs9EiFoC0,527376605795323904,9aHs9EiFoC0,9338.0,1625611.0,0.0,335.0,73192
https://www.youtube.com/watch?v=xR1jEjdNZG4,527359157486514176,xR1jEjdNZG4,6852.0,588056.0,0.0,203.0,71828
http://youtu.be/qOw44VFNk8Y,527372818342625282,qOw44VFNk8Y,4680.0,14646002.0,0.0,2040.0,71464
http://youtu.be/Lp0n_wlEjoI,527367650968498176,Lp0n_wlEjoI,1504.0,114935756.0,0.0,38400.0,68341
http://youtu.be/I3W3mRs4ULQ,527361007195156480,I3W3mRs4ULQ,2615.0,6652992.0,0.0,641.0,68207
http://youtu.be/jCKO7Pya6S8,527354736677093377,jCKO7Pya6S8,2758.0,100456611.0,0.0,28765.0,67041
http://youtu.be/TQi28Ee3YPo?a,527360872948051968,TQi28Ee3YPo,3279.0,337595.0,0.0,211.0,66987
http://youtu.be/CsFb661EXsI,527369328673693696,CsFb661EXsI,2986.0,13481735.0,0.0,1548.0,66428
http://youtu.be/hF9Gr5waAJg,527371622970163200,hF9Gr5waAJg,14419.0,14018766.0,0.0,2045.0,66104
http://youtu.be/8ELh8eOzq_0,527360289939804160,8ELh8eOzq_0,4377.0,6719353.0,0.0,1663.0,64563
http://youtu.be/l6N74xfOel0?a,527342216688046080,l6N74xfOel0,3780.0,1486390.0,0.0,654.0,62995
http://youtu.be/RuFys7OeEKY,527352585024729091,RuFys7OeEKY,3142.0,7525837.0,0.0,2011.0,60877
http://youtu.be/4ZOMenTwy90,527359878898016257,4ZOMenTwy90,5370.0,3050906.0,0.0,1160.0,60008
http://youtu.be/Pbdewwtm70w,527341604315492352,Pbdewwtm70w,3945.0,2858014.0,0.0,234.0,59708
https://www.youtube.com/watch?v=bkTFy1Wd5X4,527342082487107585,bkTFy1Wd5X4,3961.0,394465.0,0.0,129.0,59364
http://youtu.be/2lXh2n0aPyw,527368980567429121,2lXh2n0aPyw,8502.0,21637846.0,0.0,597.0,59009
http://youtu.be/mNNfZuIA1GQ,527335455470407680,mNNfZuIA1GQ,1840.0,11915731.0,0.0,2131.0,57215
http://youtu.be/-s8HMmvN-Jc?a,527366652715732992,-s8HMmvN-Jc,2486.0,8597943.0,0.0,2170.0,57168
http://youtu.be/6m4isWlUlRE?a,527362311611097089,6m4isWlUlRE,4297.0,11550050.0,0.0,5195.0,55597
http://youtu.be/YyknBTm_YyM,527335786828406784,YyknBTm_YyM,6236.0,7734907.0,0.0,609.0,54211
http://youtu.be/rhzmNRtIp8k,527355458122952704,rhzmNRtIp8k,6411.0,20087153.0,0.0,757.0,53657
http://youtu.be/11-ORD5IEO0?a,527338328593412096,11-ORD5IEO0,2980.0,2019432.0,0.0,1254.0,51671
https://www.youtube.com/watch?v=aiLjNCmOqLM,527340027261759488,aiLjNCmOqLM,4550.0,3933475.0,0.0,1345.0,49790
http://youtu.be/sMom9RZj_bU?a,527352551448903680,sMom9RZj_bU,4249.0,2019766.0,0.0,1279.0,48958
http://youtu.be/aToM8FbkH4Q,527339280692035585,aToM8FbkH4Q,2632.0,4544302.0,0.0,768.0,48135
http://youtu.be/-2GplqslhnI?a,527352887018418176,-2GplqslhnI,3381.0,1006936.0,0.0,466.0,47510
http://youtu.be/SwZMS-ISbH4,527336764114231296,SwZMS-ISbH4,4657.0,6180683.0,0.0,983.0,46687
http://youtu.be/LfgSEwjAeno,527359094576148480,LfgSEwjAeno,7194.0,7955175.0,0.0,2346.0,46418
http://www.youtube.com/watch?v=sB_d1ro79e0,527362571666345984,sB_d1ro79e0,3370.0,10646703.0,0.0,1026.0,46252
http://youtu.be/xy4FXhkm6Nw,527346574557708288,xy4FXhkm6Nw,7526.0,13033930.0,0.0,1049.0,45320
http://youtu.be/OwWT43Eb3IM,527341742731694080,OwWT43Eb3IM,2268.0,7340697.0,0.0,525.0,45203
https://www.youtube.com/watch?v=82ZEDGPCkT8&feature=youtu.be,527343298818473984,82ZEDGPCkT8,7101.0,13489695.0,0.0,5789.0,44224
http://youtu.be/e613hsJh8UU,527347379863691266,e613hsJh8UU,376.0,85765720.0,0.0,26173.0,43312
